date,infected,dead,recovered,inactive,active,new,new_deaths,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
2020-05-22,20612,982,8731,9713,10899,471.0,10.0,448.33333333333326,370.8571428571428,374.9285714285714,10.714285714285714,14.785714285714285,15.469387755102035
2020-05-23,20927,993,8977,9970,10957,315.0,11.0,396.33333333333326,381.4285714285714,376.8571428571428,11.142857142857142,14.928571428571427,14.387755102040813
2020-05-24,21288,996,9194,10190,11098,361.0,3.0,382.33333333333326,394.1428571428572,378.0,10.142857142857142,14.071428571428573,13.265306122448974
2020-05-25,21629,1007,9276,10283,11346,341.0,11.0,339.0,392.0,378.78571428571433,10.142857142857142,14.071428571428573,12.142857142857142
2020-05-26,22072,1024,10020,11044,11028,443.0,17.0,381.66666666666674,400.71428571428567,370.71428571428567,10.857142857142858,13.285714285714285,11.448979591836732
2020-05-27,22469,1028,10330,11358,11111,397.0,4.0,393.66666666666674,390.1428571428572,376.07142857142856,9.428571428571429,11.928571428571427,10.734693877551019
2020-05-28,22821,1038,10560,11598,11223,352.0,10.0,397.33333333333326,382.8571428571428,371.8571428571428,9.428571428571429,11.071428571428573,10.265306122448976
2020-05-29,23153,1051,10692,11743,11410,332.0,13.0,360.33333333333326,363.0,366.9285714285714,9.857142857142858,10.285714285714286,10.142857142857142
2020-05-30,23565,1061,11016,12077,11488,412.0,10.0,365.33333333333326,376.8571428571428,379.1428571428572,9.714285714285714,10.428571428571429,9.93877551020408
2020-05-31,23784,1064,11271,12335,11449,219.0,3.0,321.0,356.57142857142856,375.3571428571428,9.714285714285714,9.928571428571429,9.877551020408164
2020-06-01,24159,1074,11449,12523,11636,375.0,10.0,335.3333333333333,361.4285714285714,376.71428571428567,9.571428571428571,9.857142857142858,9.79591836734694
2020-06-02,24395,1092,11726,12818,11577,236.0,18.0,276.6666666666667,331.85714285714283,366.28571428571433,9.714285714285714,10.285714285714286,9.632653061224488
2020-06-03,24687,1115,12014,13129,11558,292.0,23.0,301.0,316.85714285714283,353.5,12.428571428571427,10.928571428571427,10.061224489795917
2020-06-04,25048,1117,12227,13344,11704,361.0,2.0,296.3333333333333,318.14285714285717,350.5,11.285714285714285,10.357142857142858,10.326530612244897
2020-06-05,25410,1137,12410,13547,11863,362.0,20.0,338.3333333333333,322.42857142857144,342.7142857142857,12.285714285714285,11.071428571428573,10.673469387755102
2020-06-06,25986,1151,12641,13792,12194,576.0,14.0,433.0,345.8571428571428,361.3571428571428,12.857142857142858,11.285714285714285,11.122448979591837
2020-06-07,26561,1155,12855,14010,12551,575.0,4.0,504.33333333333326,396.71428571428567,376.6428571428572,13.0,11.357142857142858,11.59183673469388
2020-06-08,27160,1164,12998,14162,12998,599.0,9.0,583.3333333333334,428.71428571428567,395.07142857142856,12.857142857142858,11.214285714285712,12.06122448979592
2020-06-09,27560,1183,13196,14379,13181,400.0,19.0,524.6666666666666,452.1428571428572,392.0,13.0,11.357142857142858,12.530612244897965
2020-06-10,27842,1206,13411,14617,13225,282.0,23.0,427.0,450.71428571428567,383.78571428571433,13.0,12.714285714285715,12.612244897959187
2020-06-11,28201,1215,13696,14911,13290,359.0,9.0,347.0,450.4285714285714,384.28571428571433,14.0,12.642857142857142,13.000000000000002
2020-06-12,28577,1222,13805,15027,13550,376.0,7.0,339.0,452.4285714285714,387.4285714285714,12.142857142857142,12.214285714285715,12.979591836734695
2020-06-13,29017,1237,14104,15341,13676,440.0,15.0,391.66666666666674,433.0,389.4285714285714,12.285714285714285,12.571428571428573,12.89795918367347
2020-06-14,29392,1247,14226,15473,13919,375.0,10.0,397.0,404.4285714285714,400.57142857142856,13.142857142857142,13.071428571428573,12.918367346938775
2020-06-15,29788,1256,14383,15639,14149,396.0,9.0,403.66666666666674,375.4285714285714,402.07142857142856,13.142857142857142,13.0,12.959183673469385
2020-06-16,30195,1272,14654,15926,14269,407.0,16.0,392.66666666666674,376.4285714285714,414.28571428571433,12.714285714285715,12.857142857142858,12.918367346938775
2020-06-17,30645,1286,14921,16207,14438,450.0,14.0,417.66666666666674,400.4285714285714,425.57142857142856,11.428571428571427,12.214285714285715,12.693877551020408
2020-06-18,30959,1316,15317,16633,14326,314.0,30.0,390.33333333333326,394.0,422.21428571428567,14.428571428571427,14.214285714285715,12.755102040816324
2020-06-19,31311,1334,15698,17032,14279,352.0,18.0,372.0,390.57142857142856,421.5,16.0,14.071428571428573,13.306122448979592
2020-06-20,31620,1346,16181,17527,14093,309.0,12.0,325.0,371.8571428571428,402.4285714285714,15.571428571428573,13.928571428571427,13.77551020408163
2020-06-21,31931,1356,16683,18039,13892,311.0,10.0,324.0,362.71428571428567,383.57142857142856,15.571428571428573,14.357142857142858,14.122448979591837
2020-06-22,32227,1359,17076,18435,13792,296.0,3.0,305.3333333333333,348.42857142857144,361.9285714285714,14.714285714285715,13.928571428571427,14.346938775510203
2020-06-23,32527,1375,17573,18948,13579,300.0,16.0,302.3333333333333,333.14285714285717,354.78571428571433,14.714285714285715,13.714285714285715,14.63265306122449
2020-06-24,32821,1396,18134,19530,13291,294.0,21.0,296.6666666666667,310.85714285714283,355.6428571428572,15.714285714285715,13.571428571428573,15.244897959183671
2020-06-25,33110,1412,18654,20066,13044,289.0,16.0,294.3333333333333,307.2857142857143,350.6428571428572,13.714285714285715,14.071428571428573,15.142857142857142
2020-06-26,33395,1429,19218,20647,12748,285.0,17.0,289.3333333333333,297.7142857142857,344.1428571428572,13.571428571428573,14.785714285714285,14.795918367346935
2020-06-27,33714,1435,19972,21407,12307,319.0,6.0,297.6666666666667,299.14285714285717,335.5,12.714285714285715,14.142857142857142,14.387755102040813
2020-06-28,33907,1439,20548,21987,11920,193.0,4.0,265.6666666666667,282.2857142857143,322.5,11.857142857142858,13.714285714285715,13.85714285714285
2020-06-29,34154,1445,20897,22342,11812,247.0,6.0,253.0,275.2857142857143,311.85714285714283,12.285714285714285,13.5,13.51020408163265
2020-06-30,34393,1464,21281,22745,11648,239.0,19.0,226.33333333333331,266.57142857142856,299.85714285714283,12.714285714285715,13.714285714285715,13.224489795918364
2020-07-01,34775,1478,21791,23269,11506,382.0,14.0,289.3333333333333,279.14285714285717,295.0,11.714285714285715,13.714285714285715,12.653061224489793
2020-07-02,35146,1493,22209,23702,11444,371.0,15.0,330.6666666666667,290.85714285714283,299.07142857142856,11.571428571428573,12.642857142857142,12.346938775510203
2020-07-03,35405,1507,22651,24158,11247,259.0,14.0,337.3333333333333,287.14285714285717,292.42857142857144,11.142857142857142,12.357142857142858,11.999999999999998
2020-07-04,35719,1511,23127,24638,11081,314.0,4.0,314.6666666666667,286.42857142857144,292.7857142857143,10.857142857142858,11.785714285714285,11.734693877551019
2020-07-05,35950,1516,23746,25262,10688,231.0,5.0,268.0,291.85714285714283,287.07142857142856,11.0,11.428571428571427,11.612244897959185
2020-07-06,36155,1520,23966,25486,10669,205.0,4.0,250.0,285.85714285714283,280.57142857142856,10.714285714285714,11.5,11.387755102040813
2020-07-07,36412,1527,24238,25765,10647,257.0,7.0,231.0,288.42857142857144,277.5,9.0,10.857142857142858,10.857142857142856
2020-07-08,36689,1542,24878,26420,10269,277.0,15.0,246.33333333333331,273.42857142857144,276.2857142857143,9.142857142857142,10.428571428571429,10.489795918367346
2020-07-09,36951,1551,25477,27028,9923,262.0,9.0,265.3333333333333,257.85714285714283,274.35714285714283,8.285714285714286,9.928571428571429,10.020408163265305
2020-07-10,37216,1562,26048,27610,9606,265.0,11.0,268.0,258.7142857142857,272.92857142857144,7.857142857142858,9.5,9.551020408163266
2020-07-11,37521,1568,26635,28203,9318,305.0,6.0,277.3333333333333,257.42857142857144,271.92857142857144,8.142857142857142,9.5,9.16326530612245
2020-07-12,37891,1571,27148,28719,9172,370.0,3.0,313.3333333333333,277.2857142857143,284.57142857142856,7.857142857142858,9.428571428571429,8.714285714285714
2020-07-13,38190,1576,27515,29091,9099,299.0,5.0,324.6666666666667,290.7142857142857,288.2857142857143,8.0,9.357142857142858,8.326530612244897
2020-07-14,38457,1588,27756,29344,9113,267.0,12.0,312.0,292.14285714285717,290.2857142857143,8.714285714285714,8.857142857142858,8.285714285714286
2020-07-15,38721,1594,28492,30086,8635,264.0,6.0,276.6666666666667,290.2857142857143,281.85714285714283,7.428571428571429,8.285714285714286,8.040816326530612
2020-07-16,39054,1604,28928,30532,8522,333.0,10.0,288.0,300.42857142857144,279.14285714285717,7.571428571428571,7.928571428571429,7.938775510204081
2020-07-17,39407,1611,29505,31116,8291,353.0,7.0,316.6666666666667,313.0,285.85714285714283,7.0,7.428571428571429,7.816326530612246
2020-07-18,39746,1617,29924,31541,8205,339.0,6.0,341.6666666666667,317.85714285714283,287.64285714285717,7.0,7.571428571428571,7.653061224489797
