region,date,new,infected,new_deaths,dead,new_recoveries,recovered,new_3,new_7,new_14,new_deaths_7,new_deaths_14,new_deaths_7_7
podlaskie,2020-03-22,1,6,0,0,0,0,1.6666666666666667,0.8571428571428571,0.42857142857142855,0.0,0.0,0.0
podlaskie,2020-03-23,1,7,0,0,0,0,1.3333333333333333,1.0,0.5,0.0,0.0,0.0
podlaskie,2020-03-24,0,7,0,0,0,0,0.6666666666666666,0.8571428571428571,0.5,0.0,0.0,0.0
podlaskie,2020-03-25,3,10,0,0,0,0,1.3333333333333333,1.2857142857142858,0.7142857142857143,0.0,0.0,0.0
podlaskie,2020-03-26,3,13,0,0,0,0,2.0,1.7142857142857142,0.9285714285714286,0.0,0.0,0.0
podlaskie,2020-03-27,4,17,0,0,0,0,3.333333333333333,2.0,1.2142857142857142,0.0,0.0,0.0
podlaskie,2020-03-28,9,26,0,0,0,0,5.333333333333333,3.0,1.8571428571428568,0.0,0.0,0.0
podlaskie,2020-03-29,2,28,0,0,0,0,5.0,3.1428571428571432,2.0,0.0,0.0,0.0
podlaskie,2020-03-30,8,36,0,0,0,0,6.333333333333332,4.142857142857143,2.571428571428572,0.0,0.0,0.0
podlaskie,2020-03-31,0,36,0,0,0,0,3.333333333333333,4.142857142857143,2.5,0.0,0.0,0.0
podlaskie,2020-04-01,11,47,0,0,0,0,6.333333333333332,5.285714285714286,3.2857142857142856,0.0,0.0,0.0
podlaskie,2020-04-02,12,59,0,0,0,0,7.666666666666668,6.571428571428571,4.142857142857143,0.0,0.0,0.0
podlaskie,2020-04-03,15,74,0,0,1,1,12.666666666666664,8.142857142857142,5.071428571428571,0.0,0.0,0.0
podlaskie,2020-04-04,8,82,0,0,0,1,11.666666666666664,8.0,5.5,0.0,0.0,0.0
podlaskie,2020-04-05,9,91,1,1,0,1,10.666666666666666,9.0,6.071428571428571,0.14285714285714285,0.07142857142857142,0.020408163265306117
podlaskie,2020-04-06,18,109,0,1,4,5,11.666666666666664,10.428571428571429,7.2857142857142865,0.14285714285714285,0.07142857142857142,0.040816326530612235
podlaskie,2020-04-07,18,127,0,1,0,5,15.0,13.0,8.571428571428571,0.14285714285714285,0.07142857142857142,0.061224489795918366
podlaskie,2020-04-08,22,149,0,1,0,5,19.33333333333333,14.571428571428573,9.928571428571429,0.14285714285714285,0.07142857142857142,0.08163265306122447
podlaskie,2020-04-09,19,168,0,1,1,6,19.666666666666668,15.571428571428573,11.071428571428573,0.14285714285714285,0.07142857142857142,0.1020408163265306
podlaskie,2020-04-10,21,189,0,1,2,8,20.666666666666668,16.428571428571427,12.285714285714285,0.14285714285714285,0.07142857142857142,0.12244897959183673
podlaskie,2020-04-11,6,195,0,1,0,8,15.333333333333336,16.142857142857142,12.071428571428573,0.14285714285714285,0.07142857142857142,0.14285714285714282
podlaskie,2020-04-12,27,222,0,1,2,10,18.0,18.714285714285715,13.857142857142858,0.0,0.07142857142857142,0.12244897959183673
podlaskie,2020-04-13,16,238,0,1,5,15,16.333333333333332,18.428571428571427,14.428571428571427,0.0,0.07142857142857142,0.1020408163265306
podlaskie,2020-04-14,18,256,0,1,0,15,20.33333333333333,18.428571428571427,15.714285714285715,0.0,0.07142857142857142,0.08163265306122447
podlaskie,2020-04-15,3,259,0,1,11,26,12.333333333333336,15.714285714285715,15.142857142857142,0.0,0.07142857142857142,0.061224489795918366
podlaskie,2020-04-16,19,278,1,2,6,32,13.333333333333336,15.714285714285715,15.642857142857142,0.14285714285714285,0.14285714285714285,0.061224489795918366
podlaskie,2020-04-17,13,291,0,2,3,35,11.666666666666664,14.571428571428573,15.5,0.14285714285714285,0.14285714285714285,0.061224489795918366
podlaskie,2020-04-18,25,316,0,2,2,37,19.0,17.285714285714285,16.714285714285715,0.14285714285714285,0.14285714285714285,0.061224489795918366
podlaskie,2020-04-19,5,321,0,2,13,50,14.333333333333336,14.142857142857142,16.428571428571427,0.14285714285714285,0.07142857142857142,0.08163265306122447
podlaskie,2020-04-20,6,327,0,2,6,56,12.0,12.714285714285715,15.571428571428573,0.14285714285714285,0.07142857142857142,0.1020408163265306
podlaskie,2020-04-21,5,332,0,2,13,69,5.333333333333333,10.857142857142858,14.642857142857142,0.14285714285714285,0.07142857142857142,0.12244897959183673
podlaskie,2020-04-22,3,335,0,2,25,94,4.666666666666667,10.857142857142858,13.285714285714285,0.14285714285714285,0.07142857142857142,0.14285714285714282
podlaskie,2020-04-23,6,341,0,2,13,107,4.666666666666667,9.0,12.357142857142858,0.0,0.07142857142857142,0.12244897959183673
podlaskie,2020-04-24,3,344,1,3,7,114,4.0,7.571428571428571,11.071428571428573,0.14285714285714285,0.14285714285714285,0.12244897959183673
podlaskie,2020-04-25,14,358,0,3,15,129,7.666666666666668,6.0,11.642857142857142,0.14285714285714285,0.14285714285714285,0.12244897959183673
podlaskie,2020-04-26,3,361,0,3,11,140,6.666666666666668,5.7142857142857135,9.928571428571429,0.14285714285714285,0.14285714285714285,0.12244897959183673
